structure,die_x,die_y,measurement_id,mode,snm_mv,snm_left_mv,snm_right_mv,limiting_lobe,status,individual_png
SP01,10,2,7,hold,487.0663627940467,499.697857819,487.0663627940467,right,ok,
SP01,10,2,7,read,189.3539722153379,207.85844031003805,189.3539722153379,right,ok,
SP01,10,3,22,hold,534.4604325076598,573.6298834442148,534.4604325076598,right,ok,
SP01,10,3,22,read,220.4971007846745,293.97585543505863,220.4971007846745,right,ok,
SP01,10,4,39,hold,451.4520158421734,451.4520158421734,516.6184357311963,left,ok,
SP01,10,4,39,read,171.809125436963,171.809125436963,204.16974245792753,left,ok,
SP01,10,5,56,hold,478.81539415840837,478.81539415840837,487.7476508738596,left,ok,
SP01,10,5,56,read,171.55498286338766,171.55498286338766,205.22263327229834,left,ok,
SP01,10,6,71,hold,460.912006902861,476.32111371232804,460.912006902861,right,ok,
SP01,10,6,71,read,200.9536977905192,200.9536977905192,225.78750108072214,left,ok,
SP01,10,7,81,hold,455.79700572060085,455.79700572060085,518.6256303626781,left,ok,
SP01,10,7,81,read,161.76960606155322,161.76960606155322,243.9777480601295,left,ok,
SP01,11,2,8,hold,486.18642278023276,493.46177238770565,486.18642278023276,right,ok,
SP01,11,2,8,read,205.5797718189732,231.2433882339143,205.5797718189732,right,ok,
SP01,11,3,21,hold,481.4031292342842,530.4401943222998,481.4031292342842,right,ok,
SP01,11,3,21,read,223.58778973622873,310.034020808698,223.58778973622873,right,ok,
SP01,11,4,40,hold,490.84616931890474,490.84616931890474,492.8221849305322,left,ok,
SP01,11,4,40,read,201.77568246202773,201.77568246202773,207.8487956132266,left,ok,
SP01,11,5,55,hold,451.9675649807866,486.33803860122094,451.9675649807866,right,ok,
SP01,11,5,55,read,186.74527486554203,200.83660099487628,186.74527486554203,right,ok,
SP01,11,6,72,hold,467.5854607833908,481.2134158389892,467.5854607833908,right,ok,
SP01,11,6,72,read,200.04605139118067,204.09518645377096,200.04605139118067,right,ok,
SP01,11,7,80,hold,460.68147983739203,476.93688921019947,460.68147983739203,right,ok,
SP01,11,7,80,read,175.46166476873537,186.62805123075486,175.46166476873537,right,ok,
SP01,12,2,9,hold,504.6308298020713,568.3505575506908,504.6308298020713,right,ok,
SP01,12,2,9,read,194.45027523375325,252.0253767402403,194.45027523375325,right,ok,
SP01,12,3,20,hold,458.51490853719076,471.7179170847197,458.51490853719076,right,ok,
SP01,12,3,20,read,196.95991625651413,197.36942211266344,196.95991625651413,right,ok,
SP01,12,4,41,hold,280.8462457176458,280.8462457176458,326.09956811575114,left,ok,
SP01,12,4,41,read,217.12349958717564,294.7799000547246,217.12349958717564,right,ok,
SP01,12,5,54,hold,473.0852668859642,473.0852668859642,493.5872704256303,left,ok,
SP01,12,5,54,read,213.76131436776703,219.08415120572354,213.76131436776703,right,ok,
SP01,12,6,73,hold,462.10322864725816,491.8709271843148,462.10322864725816,right,ok,
SP01,12,6,73,read,191.87095892447635,225.57947884519658,191.87095892447635,right,ok,
SP01,12,7,79,hold,323.4573446609602,323.4573446609602,370.7821342942598,left,ok,
SP01,12,7,79,read,181.97841311570107,181.97841311570107,335.7622103227997,left,ok,
SP01,13,2,10,hold,523.4452033367523,523.4452033367523,555.6944330920801,left,ok,
SP01,13,2,10,read,208.0238957742668,208.0238957742668,268.75713142355846,left,ok,
SP01,13,3,19,hold,477.0186537202951,477.0186537202951,511.2753708547827,left,ok,
SP01,13,3,19,read,197.3781141120946,197.3781141120946,224.14753993507816,left,ok,
SP01,13,4,42,hold,476.01659696389487,499.69273518158036,476.01659696389487,right,ok,
SP01,13,4,42,read,200.33585987769717,210.65386153500882,200.33585987769717,right,ok,
SP01,13,5,53,hold,340.2446586456795,340.2446586456795,412.83218676676813,left,ok,
SP01,13,5,53,read,201.01079111258088,201.01079111258088,284.2716039695754,left,ok,
SP01,13,6,74,hold,448.95228013260356,505.7806812254446,448.95228013260356,right,ok,
SP01,13,6,74,read,145.4046818803258,220.73400386194214,145.4046818803258,right,ok,
SP01,13,7,78,hold,484.79870963850595,484.79870963850595,491.2782685913476,left,ok,
SP01,13,7,78,read,189.5520127214952,201.82434550031016,189.5520127214952,right,ok,
SP01,14,2,11,hold,534.2191335855883,541.5006755121001,534.2191335855883,right,ok,
SP01,14,2,11,read,241.4142499179639,524.218003209379,241.4142499179639,right,ok,
SP01,14,3,18,hold,487.1854293623563,498.1186929024543,487.1854293623563,right,ok,
